Tarposition(deg)	position(deg)	Current(A)
0.00000000 235.33435059 0.04872920
0.00000000 235.49913025 0.04894502
0.00000000 235.66394043 0.04976827
0.00000000 235.82872009 0.05111457
0.00000000 235.99353027 0.05224760
0.00000000 236.15834045 0.05346235
0.00000000 236.32312012 0.05482575
0.00000000 236.54286194 0.05611484
0.00000000 236.87246704 0.05690416
0.00000000 237.20207214 0.05652053
0.00000000 237.64151001 0.05556920
0.00000000 238.19087219 0.05458107
0.00000000 238.63034058 0.05383828
0.00000000 239.06979370 0.05324700
0.00000000 239.34445190 0.05302750
0.00000000 239.61914062 0.05230315
0.00000000 239.83886719 0.05176073
0.00000000 240.11354065 0.05144742
0.00000000 240.33325195 0.05093559
0.00000000 240.55300903 0.05087141
0.00000000 240.71778870 0.05170586
0.00000000 240.88258362 0.05254449
0.00000000 241.04737854 0.05302729
0.00000000 241.26713562 0.05364259
0.00000000 241.48687744 0.05469930
0.00000000 241.70658875 0.05580172
